,Date,Energie (kWh),Installation,Irradiance
5724,2023-06-29 12:00:00,625.92,LYCEE RESTAT - SERRE,
5725,2023-06-29 13:00:00,639.25,LYCEE RESTAT - SERRE,
5726,2023-06-29 14:00:00,495.17,LYCEE RESTAT - SERRE,
5727,2023-06-29 15:00:00,317.67,LYCEE RESTAT - SERRE,
5728,2023-06-29 16:00:00,391.17,LYCEE RESTAT - SERRE,
5729,2023-06-29 17:00:00,275.25,LYCEE RESTAT - SERRE,
5730,2023-06-29 18:00:00,155.08,LYCEE RESTAT - SERRE,
5731,2023-06-29 19:00:00,20.58,LYCEE RESTAT - SERRE,
5732,2023-06-29 20:00:00,5.33,LYCEE RESTAT - SERRE,
5733,2023-06-29 21:00:00,0.0,LYCEE RESTAT - SERRE,
5734,2023-06-29 22:00:00,0.0,LYCEE RESTAT - SERRE,
5735,2023-06-29 23:00:00,0.0,LYCEE RESTAT - SERRE,
5736,2023-06-30 00:00:00,0.0,LYCEE RESTAT - SERRE,
5737,2023-06-30 01:00:00,0.0,LYCEE RESTAT - SERRE,
5738,2023-06-30 02:00:00,0.0,LYCEE RESTAT - SERRE,
5739,2023-06-30 03:00:00,0.0,LYCEE RESTAT - SERRE,
5740,2023-06-30 04:00:00,0.0,LYCEE RESTAT - SERRE,
5741,2023-06-30 05:00:00,0.0,LYCEE RESTAT - SERRE,
5742,2023-06-30 06:00:00,1.83,LYCEE RESTAT - SERRE,
5743,2023-06-30 07:00:00,62.0,LYCEE RESTAT - SERRE,
5744,2023-06-30 08:00:00,185.83,LYCEE RESTAT - SERRE,
5745,2023-06-30 09:00:00,287.08,LYCEE RESTAT - SERRE,
5746,2023-06-30 10:00:00,499.67,LYCEE RESTAT - SERRE,
5747,2023-06-30 11:00:00,379.17,LYCEE RESTAT - SERRE,
5748,2023-06-30 12:00:00,389.33,LYCEE RESTAT - SERRE,
5749,2023-06-30 13:00:00,586.83,LYCEE RESTAT - SERRE,
5750,2023-06-30 14:00:00,638.08,LYCEE RESTAT - SERRE,
5751,2023-06-30 15:00:00,568.42,LYCEE RESTAT - SERRE,
5752,2023-06-30 16:00:00,480.58,LYCEE RESTAT - SERRE,
5753,2023-06-30 17:00:00,483.75,LYCEE RESTAT - SERRE,
5754,2023-06-30 18:00:00,267.42,LYCEE RESTAT - SERRE,
5755,2023-06-30 19:00:00,160.42,LYCEE RESTAT - SERRE,
5756,2023-06-30 20:00:00,59.25,LYCEE RESTAT - SERRE,
5757,2023-06-30 21:00:00,4.58,LYCEE RESTAT - SERRE,
5758,2023-06-30 22:00:00,0.0,LYCEE RESTAT - SERRE,
5759,2023-06-30 23:00:00,0.0,LYCEE RESTAT - SERRE,
5760,2023-07-01 00:00:00,0.0,LYCEE RESTAT - SERRE,
5761,2023-07-01 01:00:00,0.0,LYCEE RESTAT - SERRE,
5762,2023-07-01 02:00:00,0.0,LYCEE RESTAT - SERRE,
5763,2023-07-01 03:00:00,0.0,LYCEE RESTAT - SERRE,
5764,2023-07-01 04:00:00,0.0,LYCEE RESTAT - SERRE,
5765,2023-07-01 05:00:00,0.0,LYCEE RESTAT - SERRE,
5766,2023-07-01 06:00:00,0.0,LYCEE RESTAT - SERRE,
5767,2023-07-01 07:00:00,7.75,LYCEE RESTAT - SERRE,
5768,2023-07-01 08:00:00,58.42,LYCEE RESTAT - SERRE,
5769,2023-07-01 09:00:00,94.5,LYCEE RESTAT - SERRE,
5770,2023-07-01 10:00:00,157.67,LYCEE RESTAT - SERRE,
5771,2023-07-01 11:00:00,255.5,LYCEE RESTAT - SERRE,
5772,2023-07-01 12:00:00,330.25,LYCEE RESTAT - SERRE,
5773,2023-07-01 13:00:00,359.25,LYCEE RESTAT - SERRE,
5774,2023-07-01 14:00:00,507.17,LYCEE RESTAT - SERRE,
5775,2023-07-01 15:00:00,306.75,LYCEE RESTAT - SERRE,
5776,2023-07-01 16:00:00,232.83,LYCEE RESTAT - SERRE,
5777,2023-07-01 17:00:00,152.75,LYCEE RESTAT - SERRE,
5778,2023-07-01 18:00:00,208.08,LYCEE RESTAT - SERRE,
5779,2023-07-01 19:00:00,173.33,LYCEE RESTAT - SERRE,
5780,2023-07-01 20:00:00,54.58,LYCEE RESTAT - SERRE,
5781,2023-07-01 21:00:00,2.75,LYCEE RESTAT - SERRE,
5782,2023-07-01 22:00:00,0.0,LYCEE RESTAT - SERRE,
5783,2023-07-01 23:00:00,0.0,LYCEE RESTAT - SERRE,
5784,2023-07-02 00:00:00,0.0,LYCEE RESTAT - SERRE,
5785,2023-07-02 01:00:00,0.0,LYCEE RESTAT - SERRE,
5786,2023-07-02 02:00:00,0.0,LYCEE RESTAT - SERRE,
5787,2023-07-02 03:00:00,0.0,LYCEE RESTAT - SERRE,
5788,2023-07-02 04:00:00,0.0,LYCEE RESTAT - SERRE,
5789,2023-07-02 05:00:00,0.0,LYCEE RESTAT - SERRE,
5790,2023-07-02 06:00:00,2.92,LYCEE RESTAT - SERRE,
5791,2023-07-02 07:00:00,48.92,LYCEE RESTAT - SERRE,
5792,2023-07-02 08:00:00,153.17,LYCEE RESTAT - SERRE,
5793,2023-07-02 09:00:00,216.92,LYCEE RESTAT - SERRE,
5794,2023-07-02 10:00:00,236.5,LYCEE RESTAT - SERRE,
5795,2023-07-02 11:00:00,378.83,LYCEE RESTAT - SERRE,
5796,2023-07-02 12:00:00,451.92,LYCEE RESTAT - SERRE,
5797,2023-07-02 13:00:00,476.42,LYCEE RESTAT - SERRE,
5798,2023-07-02 14:00:00,627.42,LYCEE RESTAT - SERRE,
5799,2023-07-02 15:00:00,553.08,LYCEE RESTAT - SERRE,
5800,2023-07-02 16:00:00,370.17,LYCEE RESTAT - SERRE,
5801,2023-07-02 17:00:00,396.75,LYCEE RESTAT - SERRE,
5802,2023-07-02 18:00:00,259.08,LYCEE RESTAT - SERRE,
5803,2023-07-02 19:00:00,141.42,LYCEE RESTAT - SERRE,
5804,2023-07-02 20:00:00,55.58,LYCEE RESTAT - SERRE,
5805,2023-07-02 21:00:00,8.58,LYCEE RESTAT - SERRE,
5806,2023-07-02 22:00:00,0.0,LYCEE RESTAT - SERRE,
5807,2023-07-02 23:00:00,0.0,LYCEE RESTAT - SERRE,
5808,2023-07-03 00:00:00,0.0,LYCEE RESTAT - SERRE,
5809,2023-07-03 01:00:00,0.0,LYCEE RESTAT - SERRE,
5810,2023-07-03 02:00:00,0.0,LYCEE RESTAT - SERRE,
5811,2023-07-03 03:00:00,0.0,LYCEE RESTAT - SERRE,
5812,2023-07-03 04:00:00,0.0,LYCEE RESTAT - SERRE,
5813,2023-07-03 05:00:00,0.0,LYCEE RESTAT - SERRE,
5814,2023-07-03 06:00:00,4.5,LYCEE RESTAT - SERRE,
5815,2023-07-03 07:00:00,55.58,LYCEE RESTAT - SERRE,
5816,2023-07-03 08:00:00,210.58,LYCEE RESTAT - SERRE,
5817,2023-07-03 09:00:00,399.0,LYCEE RESTAT - SERRE,
5818,2023-07-03 10:00:00,577.42,LYCEE RESTAT - SERRE,
5819,2023-07-03 11:00:00,679.92,LYCEE RESTAT - SERRE,
5820,2023-07-03 12:00:00,527.33,LYCEE RESTAT - SERRE,
5821,2023-07-03 13:00:00,459.25,LYCEE RESTAT - SERRE,
5822,2023-07-03 14:00:00,792.17,LYCEE RESTAT - SERRE,
5823,2023-07-03 15:00:00,482.75,LYCEE RESTAT - SERRE,
