,Date,Energie (kWh),Centrale,Installation
1567,2023-08-05 07:00:00,34.58,,LYCEE RESTAT - SERRE
1568,2023-08-05 08:00:00,155.25,,LYCEE RESTAT - SERRE
1569,2023-08-05 09:00:00,315.75,,LYCEE RESTAT - SERRE
1570,2023-08-05 10:00:00,448.08,,LYCEE RESTAT - SERRE
1571,2023-08-05 11:00:00,519.92,,LYCEE RESTAT - SERRE
1572,2023-08-05 12:00:00,356.08,,LYCEE RESTAT - SERRE
1573,2023-08-05 13:00:00,555.83,,LYCEE RESTAT - SERRE
1574,2023-08-05 14:00:00,492.33,,LYCEE RESTAT - SERRE
1575,2023-08-05 15:00:00,371.92,,LYCEE RESTAT - SERRE
1576,2023-08-05 16:00:00,267.33,,LYCEE RESTAT - SERRE
1577,2023-08-05 17:00:00,209.83,,LYCEE RESTAT - SERRE
1578,2023-08-05 18:00:00,177.5,,LYCEE RESTAT - SERRE
1579,2023-08-05 19:00:00,87.67,,LYCEE RESTAT - SERRE
1580,2023-08-05 20:00:00,35.42,,LYCEE RESTAT - SERRE
1581,2023-08-05 21:00:00,0.0,,LYCEE RESTAT - SERRE
1582,2023-08-05 22:00:00,0.0,,LYCEE RESTAT - SERRE
1583,2023-08-05 23:00:00,0.0,,LYCEE RESTAT - SERRE
1584,2023-08-06 00:00:00,0.0,,LYCEE RESTAT - SERRE
1585,2023-08-06 01:00:00,0.0,,LYCEE RESTAT - SERRE
1586,2023-08-06 02:00:00,0.0,,LYCEE RESTAT - SERRE
1587,2023-08-06 03:00:00,0.0,,LYCEE RESTAT - SERRE
1588,2023-08-06 04:00:00,0.0,,LYCEE RESTAT - SERRE
1589,2023-08-06 05:00:00,0.0,,LYCEE RESTAT - SERRE
1590,2023-08-06 06:00:00,0.0,,LYCEE RESTAT - SERRE
1591,2023-08-06 07:00:00,17.58,,LYCEE RESTAT - SERRE
1592,2023-08-06 08:00:00,69.75,,LYCEE RESTAT - SERRE
1593,2023-08-06 09:00:00,213.58,,LYCEE RESTAT - SERRE
1594,2023-08-06 10:00:00,457.33,,LYCEE RESTAT - SERRE
1595,2023-08-06 11:00:00,641.75,,LYCEE RESTAT - SERRE
1596,2023-08-06 12:00:00,496.25,,LYCEE RESTAT - SERRE
1597,2023-08-06 13:00:00,664.67,,LYCEE RESTAT - SERRE
1598,2023-08-06 14:00:00,547.08,,LYCEE RESTAT - SERRE
1599,2023-08-06 15:00:00,354.83,,LYCEE RESTAT - SERRE
1600,2023-08-06 16:00:00,502.08,,LYCEE RESTAT - SERRE
1601,2023-08-06 17:00:00,309.08,,LYCEE RESTAT - SERRE
1602,2023-08-06 18:00:00,230.42,,LYCEE RESTAT - SERRE
1603,2023-08-06 19:00:00,157.42,,LYCEE RESTAT - SERRE
1604,2023-08-06 20:00:00,32.58,,LYCEE RESTAT - SERRE
1605,2023-08-06 21:00:00,0.25,,LYCEE RESTAT - SERRE
1606,2023-08-06 22:00:00,0.0,,LYCEE RESTAT - SERRE
1607,2023-08-06 23:00:00,0.0,,LYCEE RESTAT - SERRE
1608,2023-08-07 00:00:00,0.0,,LYCEE RESTAT - SERRE
1609,2023-08-07 01:00:00,0.0,,LYCEE RESTAT - SERRE
1610,2023-08-07 02:00:00,0.0,,LYCEE RESTAT - SERRE
1611,2023-08-07 03:00:00,0.0,,LYCEE RESTAT - SERRE
1612,2023-08-07 04:00:00,0.0,,LYCEE RESTAT - SERRE
1613,2023-08-07 05:00:00,0.0,,LYCEE RESTAT - SERRE
1614,2023-08-07 06:00:00,0.0,,LYCEE RESTAT - SERRE
1615,2023-08-07 07:00:00,23.08,,LYCEE RESTAT - SERRE
1616,2023-08-07 08:00:00,165.17,,LYCEE RESTAT - SERRE
1617,2023-08-07 09:00:00,388.83,,LYCEE RESTAT - SERRE
1618,2023-08-07 10:00:00,578.33,,LYCEE RESTAT - SERRE
1619,2023-08-07 11:00:00,704.83,,LYCEE RESTAT - SERRE
1620,2023-08-07 12:00:00,754.58,,LYCEE RESTAT - SERRE
1621,2023-08-07 13:00:00,769.92,,LYCEE RESTAT - SERRE
1622,2023-08-07 14:00:00,756.92,,LYCEE RESTAT - SERRE
1623,2023-08-07 15:00:00,731.08,,LYCEE RESTAT - SERRE
1624,2023-08-07 16:00:00,686.67,,LYCEE RESTAT - SERRE
1625,2023-08-07 17:00:00,564.92,,LYCEE RESTAT - SERRE
1626,2023-08-07 18:00:00,367.33,,LYCEE RESTAT - SERRE
1627,2023-08-07 19:00:00,147.5,,LYCEE RESTAT - SERRE
1628,2023-08-07 20:00:00,22.17,,LYCEE RESTAT - SERRE
1629,2023-08-07 21:00:00,0.08,,LYCEE RESTAT - SERRE
1630,2023-08-07 22:00:00,0.0,,LYCEE RESTAT - SERRE
1631,2023-08-07 23:00:00,0.0,,LYCEE RESTAT - SERRE
1632,2023-08-08 00:00:00,0.0,,LYCEE RESTAT - SERRE
1633,2023-08-08 01:00:00,0.0,,LYCEE RESTAT - SERRE
1634,2023-08-08 02:00:00,0.0,,LYCEE RESTAT - SERRE
1635,2023-08-08 03:00:00,0.0,,LYCEE RESTAT - SERRE
1636,2023-08-08 04:00:00,0.0,,LYCEE RESTAT - SERRE
1637,2023-08-08 05:00:00,0.0,,LYCEE RESTAT - SERRE
1638,2023-08-08 06:00:00,0.0,,LYCEE RESTAT - SERRE
1639,2023-08-08 07:00:00,8.83,,LYCEE RESTAT - SERRE
1640,2023-08-08 08:00:00,71.0,,LYCEE RESTAT - SERRE
1641,2023-08-08 09:00:00,171.67,,LYCEE RESTAT - SERRE
1642,2023-08-08 10:00:00,256.33,,LYCEE RESTAT - SERRE
1643,2023-08-08 11:00:00,316.67,,LYCEE RESTAT - SERRE
1644,2023-08-08 12:00:00,348.08,,LYCEE RESTAT - SERRE
1645,2023-08-08 13:00:00,351.5,,LYCEE RESTAT - SERRE
1646,2023-08-08 14:00:00,350.25,,LYCEE RESTAT - SERRE
1647,2023-08-08 15:00:00,336.5,,LYCEE RESTAT - SERRE
