﻿Installation,ID client,Date,Courbe de charge (kWh)
SAINT MARCEL,,2023-06-20 13:00:00,319.83
SAINT MARCEL,,2023-06-20 14:00:00,244.08
SAINT MARCEL,,2023-06-20 15:00:00,181.92
SAINT MARCEL,,2023-06-20 16:00:00,167.08
SAINT MARCEL,,2023-06-20 17:00:00,100.67
SAINT MARCEL,,2023-06-20 18:00:00,95.00
SAINT MARCEL,,2023-06-20 19:00:00,48.17
SAINT MARCEL,,2023-06-20 20:00:00,15.58
SAINT MARCEL,,2023-06-20 21:00:00,0.08
SAINT MARCEL,,2023-06-20 22:00:00,0.00
SAINT MARCEL,,2023-06-20 23:00:00,0.00
SAINT MARCEL,,2023-06-21 00:00:00,0.00
SAINT MARCEL,,2023-06-21 01:00:00,0.00
SAINT MARCEL,,2023-06-21 02:00:00,0.00
SAINT MARCEL,,2023-06-21 03:00:00,0.00
SAINT MARCEL,,2023-06-21 04:00:00,0.00
SAINT MARCEL,,2023-06-21 05:00:00,0.00
SAINT MARCEL,,2023-06-21 06:00:00,12.42
SAINT MARCEL,,2023-06-21 07:00:00,51.25
SAINT MARCEL,,2023-06-21 08:00:00,119.67
SAINT MARCEL,,2023-06-21 09:00:00,34.92
SAINT MARCEL,,2023-06-21 10:00:00,123.25
SAINT MARCEL,,2023-06-21 11:00:00,160.33
SAINT MARCEL,,2023-06-21 12:00:00,273.67
SAINT MARCEL,,2023-06-21 13:00:00,407.50
